	#	FORM	LEMMA	GRAM	COMMENT	CHECKED	RIGHT1	RIGHT2	RIGHT3	RIGHT4	RIGHT5	RIGHT6	POS	AUTO_LEMMA	AUTO_GRAM	
34054	26	х	’	NONLEX	distort		х						S	’	S - - nonflex nonflex	
34055	27	,	,	PUNC									PUNC	,	PUNC	
34056	28	диктор	ƒ» “ќ–	S m anim nom sg			р	о	т	к	и	д	S	ƒ» “ќ–	S m anim nom sg	
34057	29	делает	ƒ≈Ћј“№	V ipf praes sg indic act 3p			т	е	а	л	е	д	V	ƒ≈Ћј“№	V ipf praes sg indic - 3p	
34058	30	огромное	ќ√–ќћЌџ…	A - acc sg plen n -			е	о	н	м	о	р	A	ќ√–ќћЌџ…	A - nom sg plen n -	
34059	31	количество	 ќЋ»„≈—“¬ќ	S acc sg n inan			о	в	т	с	е	ч	S	 ќЋ»„≈—“¬ќ	S n inan nom sg	
34060	32	ошибок	ќЎ»Ѕ ј	S f inan gen pl			к	о	б	и	ш	о	S	ќЎ»Ѕ ј	S f inan gen pl	
34061	33	,	,	PUNC									PUNC	,	PUNC	
34062	34	повтор€€	ѕќ¬“ќ–я“№	V ipf praes - ger - -			€	€	р	о	т	в	V	ѕќ¬“ќ–я“№	V ipf praes - ger - -	
34063	35	речь	–≈„№	S f inan acc sg			ь	ч	е	р			S	–≈„№	S f inan nom sg	
34064	36	наших	ЌјЎ	A - gen pl plen - -			х	и	ш	а	н		A	ЌјЎ	A - gen pl plen - -	
34065	37	руководителей	–” ќ¬ќƒ»“≈Ћ№	S m anim gen pl			й	е	л	е	т	и	S	–” ќ¬ќƒ»“≈Ћ№	S m anim gen pl	
34066	38	.	.	SENT									SENT	.	SENT	
34067																
34068	1	ѕочему-то	ѕќ„≈ћ”-“ќ	ADV -			о	т		у	м	е	ADV	ѕќ„≈ћ”-“ќ	ADV -	18
34069	2	считаетс€	—„»“ј“№—я	V ipf praes sg indic pass 3p			€	с	т	е	а	т	V	—„»“ј“№—я	V ipf praes sg indic - 3p	
34070	3	,	,	PUNC									PUNC	,	PUNC	
34071	4	<	<	PUNC									PUNC	<	PUNC	
34072	5	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34073	6	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34074	7	=	=	PUNC									PUNC	=	PUNC	
34075	8			_											_	
34076	9	чтооо	„“ќ	CONJ			о	о	о	т	ч		S	„“ќќќ	S m anim nonflex nonflex	
34077	10			_											_	
34078	11	>	>	PUNC									PUNC	>	PUNC	
34079	12	что	„“ќ	ADV -			о	т	ч				ADV	„“ќ	ADV -	
34080	13	<	<	PUNC									PUNC	<	PUNC	
34081	14	/	/	PUNC									PUNC	/	PUNC	
34082	15	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34083	16	>	>	PUNC									PUNC	>	PUNC	31
34084	17	нельз€	Ќ≈Ћ№«я	PRAEDIC -			€	з	ь	л	е	н	ADV	Ќ≈Ћ№«я	ADV -	
34085	18	сказать	— ј«ј“№	V pf - - inf - -			ь	т	а	з	а	к	V	— ј«ј“№	V pf - - inf - -	
34086	19	нормально	Ќќ–ћјЋ№Ќќ	ADV -			о	н	ь	л	а	м	ADV	Ќќ–ћјЋ№Ќќ	ADV -	
34087	20	,	,	PUNC									PUNC	,	PUNC	
34088	21	<	<	PUNC									PUNC	<	PUNC	
34089	22	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34090	23	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34091	24	=	=	PUNC									PUNC	=	PUNC	
34092	25			_											_	
34093	26	еслиии	≈—Ћ»	CONJ	distort		и	и	и	л	с	е	S	≈—Ћ»»»	S m anim gen sg	
34094	27			_											_	
34095	28	>	>	PUNC									PUNC	>	PUNC	
34096	29	если	≈—Ћ»	CONJ			и	л	с	е			CONJ	≈—Ћ»	CONJ	
34097	30	<	<	PUNC									PUNC	<	PUNC	
34098	31	/	/	PUNC									PUNC	/	PUNC	
34099	32	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34100	33	>	>	PUNC									PUNC	>	PUNC	
34101	34	наше	ЌјЎ	A - nom sg plen n -			е	ш	а	н			A	ЌјЎ	A - nom sg plen n -	
34102	35	руководство	–” ќ¬ќƒ—“¬ќ	S n anim nom sg			о	в	т	с	д	о	S	–” ќ¬ќƒ—“¬ќ	S n inan nom sg	
34103	36	сказало	— ј«ј“№	V pf praet sg indic n act			о	л	а	з	а	к	V	— ј«ј“№	V pf praet sg indic n -	
34104	37	неправильно	Ќ≈ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	Ќ≈ѕ–ј¬»Ћ№Ќќ	ADV -	
34105	38	.	.	SENT									SENT	.	SENT	
34106																
34107	1	ѕоэтому	ѕќЁ“ќћ”	CONJ -			у	м	о	т	э	о	ADV	ѕќЁ“ќћ”	ADV -	
34108	2	<	<	PUNC									PUNC	<	PUNC	
34109	3	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34110	4	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34111	5	=	=	PUNC									PUNC	=	PUNC	
34112	6			_											_	
34113	7	ии	»	CONJ			и	и					S	»я	S f anim loc sg	
34114	8			_											_	
34115	9	>	>	PUNC									PUNC	>	PUNC	
34116	10	и	»	CONJ			и						CONJ	»	CONJ	
34117	11	<	<	PUNC									PUNC	<	PUNC	
34118	12	/	/	PUNC									PUNC	/	PUNC	
34119	13	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34120	14	>	>	PUNC									PUNC	>	PUNC	
34121	15	получаютс€	ѕќЋ”„ј“№—я	V ipf praes pl indic - 3p			€	с	т	ю	а	ч	V	ѕќЋ”„ј“№—я	V ipf praes pl indic - 3p	
34122	16	такие	“ј ќ…	APRO - nom pl plen - -			е	и	к	а	т		A	“ј ќ…	A - nom pl plen - -	
34123	17	проблемы	ѕ–ќЅЋ≈ћј	S f inan nom pl			ы	м	е	л	б	о	S	ѕ–ќЅЋ≈ћј	S f inan nom pl	
34124	18	с	—	PR			с						PR	—	PR	
34125	19	€зыком	я«џ 	S m inan ins sg			м	о	к	ы	з	€	S	я«џ 	S m inan ins sg	
34126	20	.	.	SENT									SENT	.	SENT	
34127																
34128	1	’от€	’ќ“я	CONJ			€	т	о	х			CONJ	’ќ“я	CONJ	
34129	2	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
34130	3	думаю	ƒ”ћј“№	V ipf praes sg indic - 1p			ю	а	м	у	д		V	ƒ”ћј“№	V ipf praes sg indic - 1p	
34131	4	,	,	PUNC									PUNC	,	PUNC	
34132	5	<	<	PUNC									PUNC	<	PUNC	6
34133	6	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34134	7	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34135	8	=	=	PUNC									PUNC	=	PUNC	
34136	9			_											_	
34137	10	чтоо	„“ќ	CONJ			о	о	т	ч			S	„“ќќ	S m anim nonflex nonflex	
34138	11			_											_	
34139	12	>	>	PUNC									PUNC	>	PUNC	
34140	13	что	„“ќ	CONJ			о	т	ч				CONJ	„“ќ	CONJ	
34141	14	<	<	PUNC									PUNC	<	PUNC	
34142	15	/	/	PUNC									PUNC	/	PUNC	
34143	16	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34144	17	>	>	PUNC									PUNC	>	PUNC	
34145	18	все	¬—≈	SPRO - - acc pl			е	с	в				S	¬—≈	S - - acc pl	
34146	19	можно	ћќ∆Ќќ	PRAEDIC -			о	н	ж	о	м		ADV	ћќ∆Ќќ	ADV -	
34147	20	исправить	»—ѕ–ј¬»“№	V pf - - inf - -			ь	т	и	в	а	р	V	»—ѕ–ј¬»“№	V pf - - inf - -	
34148	21	,	,	PUNC									PUNC	,	PUNC	
34149	22	<	<	PUNC									PUNC	<	PUNC	6
34150	23	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34151	24	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34152	25	=	=	PUNC									PUNC	=	PUNC	
34153	26			_											_	
34154	27	еслии	≈—Ћ»	CONJ	distort		и	и	л	с	е		S	≈—Ћ»≈	S m anim gen sg	
34155	28			_											_	
34156	29	>	>	PUNC									PUNC	>	PUNC	
34157	30	если	≈—Ћ»	CONJ			и	л	с	е			CONJ	≈—Ћ»	CONJ	
34158	31	<	<	PUNC									PUNC	<	PUNC	
34159	32	/	/	PUNC									PUNC	/	PUNC	
34160	33	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34161	34	>	>	PUNC									PUNC	>	PUNC	
34162	35	ы..	џ..	INTJ					ы				S	џ..	S m inan nonflex nonflex	
34163	36	ззан€тьс€	««јЌя“№—я	V pf - - inf - -	distort		€	с	ь	т	€	н	V	««јЌя“№—я	V pf - - inf - -	
34164	37	<	<	PUNC									PUNC	<	PUNC	
34165	38	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34166	39	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34167	40	=	=	PUNC									PUNC	=	PUNC	
34168	41			_											_	
34169	42	ззан€тьс€	«јЌя“№—я	V pf - - inf - -	distort		€	с	ь	т	€	н	V	««јЌя“№—я	V pf - - inf - -	
34170	43			_											_	
34171	44	>	>	PUNC									PUNC	>	PUNC	
34172	45	зан€тьс€	«јЌя“№—я	V pf - - inf - -			€	с	ь	т	€	н	V	«јЌя“№—я	V pf - - inf - -	
34173	46	<	<	PUNC									PUNC	<	PUNC	
34174	47	/	/	PUNC									PUNC	/	PUNC	
34175	48	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34176	49	>	>	PUNC									PUNC	>	PUNC	
34177	50	этим	Ё“ќ	SPRO n - ins sg			м	и	т	э			S	Ё“ќ	S n - ins sg	
34178	51	всерьез	¬—≈–№≈«	ADV -			з	е	ь	р	е	с	ADV	¬—≈–№≈«	ADV -	
34179	52	.	.	SENT									SENT	.	SENT	
34180																
34181	1	”читьс€	”„»“№—я	V ipf - - inf - -			€	с	ь	т	и	ч	V	”„»“№—я	V ipf - - inf - -	
34182	2	у	”	PR			у						PR	”	PR	
34183	3	нормальных	Ќќ–ћјЋ№Ќџ…	A - gen pl plen - -			х	ы	н	ь	л	а	A	Ќќ–ћјЋ№Ќџ…	A - gen pl plen - -	8
34184	4	людей	„≈Ћќ¬≈ 	S m anim gen pl			й	е	д	ю	л		S	„≈Ћќ¬≈ 	S m anim gen pl	
34185	5	,	,	PUNC									PUNC	,	PUNC	
34186	6	разговаривать	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -			ь	т	а	в	и	р	V	–ј«√ќ¬ј–»¬ј“№	V ipf - - inf - -	
34187	7	с	—	PR			с						PR	—	PR	
34188	8	нормальными	Ќќ–ћјЋ№Ќџ…	A - ins pl plen - -			и	м	ы	н	ь	л	A	Ќќ–ћјЋ№Ќџ…	A - ins pl plen - -	
34189	9	людьми	„≈Ћќ¬≈ 	S m anim ins pl			и	м	ь	д	ю	л	S	„≈Ћќ¬≈ 	S m anim ins pl	
34190	10	.	.	SENT									SENT	.	SENT	
34191																
34192	1	я	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
34193	2	считаю	—„»“ј“№	V ipf praes sg indic act 1p			ю	а	т	и	ч	с	V	—„»“ј“№	V ipf praes sg indic - 1p	
34194	3	,	,	PUNC									PUNC	,	PUNC	
34195	4	ничего	Ќ»„“ќ	S n - gen sg			о	г	е	ч	и	н	S	Ќ»„“ќ	S n - gen sg	
34196	5	постыдного	ѕќ—“џƒЌџ…	A - gen sg plen n -			о	г	о	н	д	ы	A	ѕќ—“џƒЌџ…	A - gen sg plen n -	
34197	6	,	,	PUNC									PUNC	,	PUNC	
34198	7	если	≈—Ћ»	CONJ			и	л	с	е			CONJ	≈—Ћ»	CONJ	
34199	8	наши	ЌјЎ	A - nom pl plen - -			и	ш	а	н			A	ЌјЎ	A - nom pl plen - -	
34200	9	руководители	–” ќ¬ќƒ»“≈Ћ№	S m anim nom pl			и	л	е	т	и	д	S	–” ќ¬ќƒ»“≈Ћ№	S m anim nom pl	
34201	10	так же	так же	NONLEX	раздельно		е	ж	 	к	а	т	-	так же	-	
34202	11	,	,	PUNC									PUNC	,	PUNC	
34203	12	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
34204	13	,	,	PUNC									PUNC	,	PUNC	
34205	14	закончат	«ј ќЌ„»“№	V pf fut pl indic - 3p			т	а	ч	н	о	к	V	«ј ќЌ„»“№	V pf fut pl indic - 3p	
34206	15	еще	≈ў≈	ADV -			е	щ	е				ADV	≈ў≈	ADV -	
34207	16	дополнительные	ƒќѕќЋЌ»“≈Ћ№Ќџ…	A - acc pl plen - inan			е	ы	н	ь	л	е	A	ƒќѕќЋЌ»“≈Ћ№Ќџ…	A - acc pl plen - inan	
34208	17	курсы	 ”–—џ	S - inan acc pl			ы	с	р	у	к		S	 ”–—џ	S - inan acc pl	
34209	18	€зыка	я«џ 	S m inan gen sg			а	к	ы	з	€		S	я«џ 	S m inan gen sg	
34210	19	и	»	CONJ			и						CONJ	»	CONJ	
34211	20	умени€	”ћ≈Ќ»≈	S n inan gen sg			€	и	н	е	м	у	S	”ћ≈Ќ»≈	S n inan gen sg	
34212	21	общатьс€	ќЅўј“№—я	V ipf - - inf - -			€	с	ь	т	а	щ	V	ќЅўј“№—я	V ipf - - inf - -	
34213	22	.	.	SENT									SENT	.	SENT	
34214																
34215	1	”чили	”„»“№	V ipf praet pl indic act -			и	л	и	ч	у		V	”„»“№	V ipf praet pl indic - -	
34216	2	же	∆≈	PART			е	ж					PART	∆≈	PART	
34217	3	раньше	–јЌќ	ADV comp			е	ш	ь	н	а	р	ADV	–јЌќ	ADV comp	
34218	4	,	,	PUNC									PUNC	,	PUNC	
34219	5	ээ	Ё	INTJ			э	э					NONLEX	ЁЁ	NONLEX	
34220	6	,	,	PUNC									PUNC	,	PUNC	
34221	7	умению	”ћ≈Ќ»≈	S n inan dat sg			ю	и	н	е	м	у	S	”ћ≈Ќ»≈	S n inan dat sg	
34222	8	выступать	¬џ—“”ѕј“№	V ipf - - inf - -			ь	т	а	п	у	т	V	¬џ—“”ѕј“№	V ipf - - inf - -	
34223	9	,	,	PUNC									PUNC	,	PUNC	
34224	10	риторике	–»“ќ–» ј	S f inan dat sg			е	к	и	р	о	т	S	–»“ќ–» ј	S f inan loc sg	7
34225	11	,	,	PUNC									PUNC	,	PUNC	
34226	12	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
34227	13	,	,	PUNC									PUNC	,	PUNC	
34228	14	и...	»	CONJ						и			CONJ	»...	CONJ	
34229	15	всем	¬≈—№	A - dat pl plen - -			м	е	с	в			A	¬≈—№	A - dat pl plen - -	
34230	16	прочим	ѕ–ќ„»…	A - dat pl plen - -			м	и	ч	о	р	п	A	ѕ–ќ„»…	A - dat pl plen - -	
34231	17	вещам	¬≈ў№	S f inan dat pl			м	а	щ	е	в		S	¬≈ў№	S f inan dat pl	
34232	18	.	.	SENT									SENT	.	SENT	
34233																
34234	1	 омментатор	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg			р	о	т	а	т	н	S	 ќћћ≈Ќ“ј“ќ–	S m anim nom sg	
34235	2	@	@	PUNC									PUNC	@	PUNC	
34236	3	<	<	PUNC									PUNC	<	PUNC	
34237	4	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34238	5	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34239	6	=	=	PUNC									PUNC	=	PUNC	
34240	7			_											_	
34241	8	Ќда	Ќƒј	INTJ			а	д	н				INTJ	Ќƒј	INTJ	
34242	9	>	>	PUNC									PUNC	>	PUNC	
34243	10	Ќу	Ќ”	INTJ			у	н					PART	Ќ”	PART	
34244	11	да	ƒј	PART			а	д					PART	ƒј	PART	34
34245	12	<	<	PUNC									PUNC	<	PUNC	
34246	13	/	/	PUNC									PUNC	/	PUNC	
34247	14	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34248	15	>	>	PUNC									PUNC	>	PUNC	
34249	16	.	.	SENT									SENT	.	SENT	
34250																
34251	1	≈лена	≈Ћ≈Ќј	S f anim persn nom sg			а	н	е	л	е		S	≈Ћ≈Ќј	S f anim nom sg	
34252	2	@	@	PUNC									PUNC	@	PUNC	
34253	3	Ёто	Ё“ќ	SPRO n - nom sg			о	т	э				S	Ё“ќ	S n - nom sg	
34254	4	,	,	PUNC									PUNC	,	PUNC	
34255	5	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
34256	6	,	,	PUNC									PUNC	,	PUNC	
34257	7	никогда	Ќ» ќ√ƒј	ADV -			а	д	г	о	к	и	ADV	Ќ» ќ√ƒј	ADV -	
34258	8	и	»	CONJ			и						CONJ	»	CONJ	
34259	9	никому	Ќ» “ќ	S m - dat sg			у	м	о	к	и	н	S	Ќ» “ќ	S m - dat sg	
34260	10	не	Ќ≈	PART			е	н					PART	Ќ≈	PART	
34261	11	мешало	ћ≈Ўј“№	V ipf praet sg indic n -			о	л	а	ш	е	м	V	ћ≈Ўј“№	V ipf praet sg indic n -	
34262	12	в	¬	PR			в						PR	¬	PR	
34263	13	этой	Ё“ќ“	APRO - loc sg plen f -			й	о	т	э			A	Ё“ќ“	A - loc sg plen f -	
34264	14	жизни	∆»«Ќ№	S f inan loc sg			и	н	з	и	ж		S	∆»«Ќ№	S f inan loc sg	72
34265	15	.	.	SENT									SENT	.	SENT	
34266																
34267	1	¬	¬	PR			в						PR	¬	PR	6
34268	2	свое	—¬ќ…	A - acc sg plen n inan			е	о	в	с			A	—¬ќ…	A - acc sg plen n inan	
34269	3	врем€	¬–≈ћя	S n inan acc sg			€	м	е	р	в		S	¬–≈ћя	S n inan acc sg	
34270	4	Е	Е	PUNC									PUNC	Е	PUNC	
34271	5	э	Ё	INTJ			э						INTJ	Ё	INTJ	
34272	6	,	,	PUNC									PUNC	,	PUNC	
34273	7	€	я	SPRO sg 1p - nom			€						SPRO	я	SPRO sg 1p - nom	
34274	8	никогда	Ќ» ќ√ƒј	ADV -			а	д	г	о	к	и	ADV	Ќ» ќ√ƒј	ADV -	
34275	9	забуду	«јЅџ“№	V pf fut sg indic - 1p			у	д	у	б	а	з	V	«јЅџ“№	V pf fut sg indic - 1p	72
34276	10	,	,	PUNC									PUNC	,	PUNC	
34277	11	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
34278	12	у	”	PR			у						PR	”	PR	
34279	13	нас	ћџ	SPRO pl 1p - gen			с	а	н				SPRO	ћџ	SPRO pl 1p - loc	
34280	14	в	¬	PR			в						PR	¬	PR	
34281	15	институте	»Ќ—“»“”“	S m inan loc sg			е	т	у	т	и	т	S	»Ќ—“»“”“	S m inan loc sg	
34282	16	,	,	PUNC									PUNC	,	PUNC	
34283	17	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
34284	18	,	,	PUNC									PUNC	,	PUNC	
34285	19	наш	ЌјЎ	A - nom sg plen m -			ш	а	н				A	ЌјЎ	A - nom sg plen m -	
34286	20	завкафедрой	«ј¬ ј‘≈ƒ–ќ…	S m anim nonflex nonflex			й	о	р	д	е	ф	S	«ј¬ ј‘≈ƒ–ќ…	S m anim nonflex nonflex	
34287	21	,	,	PUNC									PUNC	,	PUNC	
34288	22	э	Ё	INTJ			э						S	Ё	S - - nonflex nonflex	
34289	23	,	,	PUNC									PUNC	,	PUNC	
34290	24	совершенно	—ќ¬≈–Ў≈ЌЌќ	ADV -			о	н	н	е	ш	р	ADV	—ќ¬≈–Ў≈ЌЌќ	ADV -	
34291	25	<	<	PUNC									PUNC	<	PUNC	
34292	26	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34293	27	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34294	28	=	=	PUNC									PUNC	=	PUNC	
34295	29			_											_	
34296	30	замечатьный	«јћ≈„ј“≈Ћ№Ќџ…	A - nom sg plen m -	distort		й	ы	н	ь	т	а	S	«јћ≈„ј“№Ќџ…	S f inan nom sg	
34297	31			_											_	
34298	32	>	>	PUNC									PUNC	>	PUNC	
34299	33	замечательный	«јћ≈„ј“≈Ћ№Ќџ…	A - nom sg plen m -			й	ы	н	ь	л	е	A	«јћ≈„ј“≈Ћ№Ќџ…	A - nom sg plen m -	
34300	34	<	<	PUNC									PUNC	<	PUNC	
34301	35	/	/	PUNC									PUNC	/	PUNC	
34302	36	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34303	37	>	>	PUNC									PUNC	>	PUNC	
34304	38	старый	—“ј–џ…	A - nom sg plen m -			й	ы	р	а	т	с	A	—“ј–џ…	A - nom sg plen m -	
34305	39	московский	ћќ— ќ¬— »…	A - nom sg plen m -			й	и	к	с	в	о	A	ћќ— ќ¬— »…	A - nom sg plen m -	
34306	40	интеллигент	»Ќ“≈ЋЋ»√≈Ќ“	S m anim nom sg			т	н	е	г	и	л	S	»Ќ“≈ЋЋ»√≈Ќ“	S m anim nom sg	
34307	41	,	,	PUNC									PUNC	,	PUNC	
34308	42	<	<	PUNC									PUNC	<	PUNC	
34309	43	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34310	44	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34311	45	=	=	PUNC									PUNC	=	PUNC	
34312	46			_											_	
34313	47	вседа	¬—≈√ƒј	ADV -	distort		а	д	е	с	в		S	¬—≈ƒ	S m inan gen sg	
34314	48			_											_	
34315	49	>	>	PUNC									PUNC	>	PUNC	
34316	50	всегда	¬—≈√ƒј	ADV -			а	д	г	е	с	в	ADV	¬—≈√ƒј	ADV -	
34317	51	<	<	PUNC									PUNC	<	PUNC	
34318	52	/	/	PUNC									PUNC	/	PUNC	
34319	53	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34320	54	>	>	PUNC									PUNC	>	PUNC	
34321	55	говорил	√ќ¬ќ–»“№	V ipf praet sg indic m -			л	и	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praet sg indic m -	
34322	56	:	:	PUNC									PUNC	:	PUNC	
34323	57	Ђ	Ђ	PUNC									PUNC	Ђ	PUNC	
34324	58	ƒевочки	ƒ≈¬ќ„ ј	S f anim nom pl			и	к	ч	о	в	е	S	ƒ≈¬ќ„ ј	S f anim nom pl	34
34325	59	,	,	PUNC									PUNC	,	PUNC	
34326	60	вы	¬џ	SPRO pl 2p - nom			ы	в					SPRO	¬џ	SPRO pl 2p - nom	
34327	61	Ц	Ц	PUNC									PUNC	Ц	PUNC	
34328	62	учител€	”„»“≈Ћ№	S m anim nom pl			€	л	е	т	и	ч	S	”„»“≈Ћ№	S m anim gen sg	
34329	63	,	,	PUNC									PUNC	,	PUNC	
34330	64	вы	¬џ	SPRO pl 2p - nom			ы	в					SPRO	¬џ	SPRO pl 2p - nom	
34331	65	пример	ѕ–»ћ≈–	S m inan acc sg			р	е	м	и	р	п	S	ѕ–»ћ≈–	S m inan acc sg	
34332	66	,	,	PUNC									PUNC	,	PUNC	
34333	67	вы	¬џ	SPRO pl 2p - nom			ы	в					SPRO	¬џ	SPRO pl 2p - nom	
34334	68	об€заны	ќЅя«јЌЌџ…	A - - pl brev - -			ы	н	а	з	€	б	A	ќЅя«јЌЌџ…	A - - pl brev - -	
34335	69	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
34336	70	говорить	√ќ¬ќ–»“№	V ipf - - inf - -			ь	т	и	р	о	в	V	√ќ¬ќ–»“№	V ipf - - inf - -	
34337	71	,	,	PUNC									PUNC	,	PUNC	
34338	72	вы	¬џ	SPRO pl 2p - nom			ы	в					SPRO	¬џ	SPRO pl 2p - nom	
34339	73	об€заны	ќЅя«јЌЌџ…	A - - pl brev - -			ы	н	а	з	€	б	A	ќЅя«јЌЌџ…	A - - pl brev - -	
34340	74	правильно	ѕ–ј¬»Ћ№Ќќ	ADV -			о	н	ь	л	и	в	ADV	ѕ–ј¬»Ћ№Ќќ	ADV -	
34341	75	делать	ƒ≈Ћј“№	V ipf - - inf - -			ь	т	а	л	е	д	V	ƒ≈Ћј“№	V ipf - - inf - -	
34342	76	ї	ї	PUNC									PUNC	ї	PUNC	
34343	77	.	.	SENT									SENT	.	SENT	
34344																
34345	1	Ё	Ё	INTJ			э						INTJ	Ё	INTJ	
34346	2	,	,	PUNC									PUNC	,	PUNC	
34347	3	вот	¬ќ“	PART			т	о	в				PART	¬ќ“	PART	
34348	4	у	”	PR			у						PR	”	PR	
34349	5	нас	ћџ	SPRO pl 1p - gen			с	а	н				SPRO	ћџ	SPRO pl 1p - loc	
34350	6	кулинари€	 ”Ћ»Ќј–»я	S f inan nom sg			€	и	р	а	н	и	S	 ”Ћ»Ќј–»я	S f inan nom sg	
34351	7	была	Ѕџ“№	V ipf praet sg indic f -			а	л	ы	б			V	Ѕџ“№	V ipf praet sg indic f -	
34352	8	,	,	PUNC									PUNC	,	PUNC	
34353	9	э	Ё	INTJ			э						INTJ	Ё	INTJ	
34354	10	,	,	PUNC									PUNC	,	PUNC	
34355	11	как	 ј 	CONJ			к	а	к				CONJ	 ј 	CONJ	
34356	12	один	ќƒ»Ќ	APRO - nom sg plen m -			н	и	д	о			A	ќƒ»Ќ	A - nom sg plen m -	
34357	13	из	»«	PR			з	и					PR	»«	PR	
34358	14	предметов	ѕ–≈ƒћ≈“	S m inan gen pl			в	о	т	е	м	д	S	ѕ–≈ƒћ≈“	S m inan gen pl	
34359	15	,	,	PUNC									PUNC	,	PUNC	
34360	16	он	ќЌ	SPRO sg 3p m nom			н	о					SPRO	ќЌ	SPRO sg 3p m nom	
34361	17	приходил	ѕ–»’ќƒ»“№	V ipf praet sg indic m act			л	и	д	о	х	и	V	ѕ–»’ќƒ»“№	V ipf praet sg indic m -	
34362	18	,	,	PUNC									PUNC	,	PUNC	
34363	19	<	<	PUNC									PUNC	<	PUNC	
34364	20	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34365	21	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34366	22	=	=	PUNC									PUNC	=	PUNC	
34367	23			_											_	
34368	24	вседа	¬—≈√ƒј	ADV -	distort		а	д	е	с	в		S	¬—≈ƒ	S m inan gen sg	
34369	25			_											_	
34370	26	>	>	PUNC									PUNC	>	PUNC	
34371	27	всегда	¬—≈√ƒј	ADV -			а	д	г	е	с	в	ADV	¬—≈√ƒј	ADV -	
34372	28	<	<	PUNC									PUNC	<	PUNC	
34373	29	/	/	PUNC									PUNC	/	PUNC	
34374	30	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34375	31	>	>	PUNC									PUNC	>	PUNC	
34376	32	<	<	PUNC									PUNC	<	PUNC	
34377	33	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	
34378	34	form	FORM	NONLEX									NONLEX	FORM	NONLEX	
34379	35	=	=	PUNC									PUNC	=	PUNC	
34380	36			_											_	
34381	37	грил	√ќ¬ќ–»“№	V ipf act praet f indic	distort		л	и	р	г			S	√–»Ћј	S - inan gen pl	
34382	38			_											_	
34383	39	>	>	PUNC									PUNC	>	PUNC	
34384	40	говорил	√ќ¬ќ–»“№	V ipf praet sg indic m -			л	и	р	о	в	о	V	√ќ¬ќ–»“№	V ipf praet sg indic m -	
34385	41	<	<	PUNC									PUNC	<	PUNC	
34386	42	/	/	PUNC									PUNC	/	PUNC	
34387	43	distinct	DISTINCT	NONLEX									NONLEX	DISTINCT	NONLEX	6
